 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
ICPESG-2018,"1st International Conference on Power, Energy and Smart Grid (ICPESG-2018)",https://easychair.org/cfp/ICPESG-2018,"Mirpur, Azad Kashmir, Pakistan","Jan 31, 2018","Apr 09, 2018","['power systems', 'smart grid', 'energy ad renewable energy systems', 'control systems and robotics']",Energy
APEEC 2018,Asia Power and Energy Engineering Conference,https://easychair.org/cfp/APEEC2018,"Shanghai, China","Jan 25, 2018","Mar 24, 2018","['power', 'renewable energy', 'nuclear energy', 'energy engineering']",Energy
ICRAECC2018,International conference on Recent Advances in Energy-efficient Computing and Communication,https://easychair.org/cfp/ICRAECC2018,"Nagercoil, India","Feb 15, 2018","Mar 01, 2018","['mobile iot and cloud computing', 'smart city security and privacy', 'image and signal processing', 'multiuser mimo ofdm systems']",Energy
DUE 2018,Domestic use of Energy Conference,https://easychair.org/cfp/DUE-2018,"Cape Town, South Africa","Jan 31, 2018","Apr 03, 2018","['access to energy', 'electric mobility', 'mini grids and smart grids', 'energy efficient housing']",Energy
Deyloul-One-2018,COLLOQUE INTERNATIONAL SUR LES PERSPECTIVES ET IMPACTS DE L'EXPLOITATION DU GAZ EN MAURITANIE,https://easychair.org/cfp/IS-GEM_2018,"Nouakchott, Mauritania","Dec 22, 2017","Jan 08, 2018","[u'cadre l\xe9gal et r\xe9glementaire', u'activit\xe9s connexes', 'gouvernance et transparence', 'impacts sociaux et environnementaux']",Energy
IC3G 2018,"International Conference on Geo-mechanics, Geo-energy and Geo-resources",https://easychair.org/cfp/ic3g2018,"Chengdu, China","Apr 01, 2018","Sep 21, 2018","['mining', 'geothermal energy', 'unconventional oil and gas extractions', 'co2 sequestrations']",Energy
MU-IGBC 2018,The 2nd Malaysia University-Industry Green Building Collaboration Symposium,https://easychair.org/cfp/MUIGBC2018,"Bangi, Selangor, Malaysia","Apr 30, 2018","May 09, 2018",[],Energy
ICSERTA 2018,"International Congress on Solar Energy Research, Technology and Applications",https://easychair.org/cfp/icserta2018,"Ouarzazate, Morocco",,"May 08, 2018",[],Energy
SIGMA 2018,"International Conference on Signals, Machines and Automation",https://easychair.org/cfp/SIGMA-2018,"New Delhi, India",,"Feb 23, 2018","['intelligent tools and techniques', 'ai electrical']",Energy
ICNEE 2018,2018 International Conference on New Energy and Environment Engineering,https://easychair.org/cfp/ICNEE2018,"Singapore, Singapore","Feb 15, 2018","May 25, 2018","['new energy', 'environmental engineering', 'environment engineering', 'energy science']",Energy
ICACER 2018,2018 3rd International Conference on Advances on Clean Energy Research,https://easychair.org/cfp/ICACER2018,"Barcelona, Spain","Jan 20, 2018","Apr 06, 2018","['clean energy', 'smart grids', 'solar energy', 'ocean energy']",Energy
ICEEEP 2018,2018 2nd International Conference on  Energy Economics and Energy Policy,https://easychair.org/cfp/ICEEEP2018,"Barcelona, Spain","Jan 20, 2018","Apr 06, 2018","['energy policy', 'green energy', 'air pollution', 'energy economics']",Energy
ICRCE 2018,2018 International Conference on Renewable and Clean Energy,https://easychair.org/cfp/ICRCE2018,"Tokyo, Japan","Jan 30, 2018","Mar 30, 2018","['renewable energy', 'clean energy', 'smart grids', 'solar energy']",Energy
CPEEE 2018,"2018 International Conference on Power, Energy and Electrical Engineering",https://easychair.org/cfp/CPEEE2018,"Tokyo, Japan","Feb 05, 2018","Mar 30, 2018","['power', 'energy', 'electrical engineering', 'education']",Energy
ACEEE 2018,2018 Asia Conference on Energy and Environment Engineering,https://easychair.org/cfp/ACEEE2018,"Shanghai, China","Nov 15, 2017","Jan 19, 2018","['environment', 'ecology', 'renewable energy', 'nanotechnology']",Energy
CEEPE 2018,"2018 Conference on Energy, Electrical and Power Engineering",https://easychair.org/cfp/CEEPE2018,"Seoul, South Korea","Feb 15, 2018","Jun 15, 2018","['biomedical engineering', 'power system', 'electrical engineering', 'technology']",Energy
ICEEE 2018,2018 5th International Conference on Electrical and Electronics Engineering,https://easychair.org/cfp/ICEEE2018,"Istanbul, Turkey","Jan 25, 2018","May 03, 2018","['electrical engineering', 'electronics engineering', 'signal processing', 'controls']",Energy
WECGE2018,The Third ECCAS Sustainable Energy Access Summit & Tradeshow,https://easychair.org/cfp/WECGE2018,"Yaounde, Cameroon","Feb 12, 2018","May 22, 2018","['waste management and circular economy', 'energy and climate in municipalities', 'sustainable cities']",Energy
ICCOE 2018,2018 5th International Conference on Coastal and Ocean Engineering,https://easychair.org/cfp/ICCOE2018,"Shanghai, China","Jan 15, 2018","Apr 27, 2018","['climate change', 'environment', 'coastal and ocean engineering', 'wastewater disposal']",Energy
ICSREE 2018,2018 3rd International Conference on Sustainable and Renewable Energy Engineering,https://easychair.org/cfp/ICSREE2018,"Zamora, Spain","Feb 10, 2018","May 09, 2018","['electrical engineering', 'smart grid', 'renewable energy', 'energy engineering']",Energy
ICEMA 2018,2018 3rd International Conference on Energy Materials and Applications,https://easychair.org/cfp/ICEMA2018,"Zamora, Spain","Feb 05, 2018","May 09, 2018","['nanomaterials', 'materials', 'solar energy', 'energy materials']",Energy
ICSGE 2018,2018 International Conference on Smart Grid and Energy,https://easychair.org/cfp/ICSGE2018,"Hong Kong, Hong Kong","Feb 10, 2018","Apr 07, 2018","['green energy', 'renewable energy', 'environment', 'smart grid']",Energy
ICPEA 2018,2018 International Conference on Power and Energy Applications,https://easychair.org/cfp/ICPEA2018,"Hong Kong, Hong Kong","Feb 10, 2018","Apr 07, 2018","['power', 'electronics', 'smart grids', 'electrical systems']",Energy
ICEEN 2018,The 6th International Conference on Electrical Energy and Networks,https://easychair.org/cfp/ICEEN2018,"Singapore, Singapore","Jan 25, 2018","Mar 24, 2018","['electrical energy', 'networks', 'electronics', 'smart grids']",Energy
ICGEA 2018,2018 2nd International Conference on Green Energy and Applications,https://easychair.org/cfp/ICGEA2018,"Singapore, Singapore","Jan 25, 2018","Mar 24, 2018","['renewable energy', 'green energy', 'power', 'fuel']",Energy
ICRET 2018,The 4th International Conference on Renewable Energy Technologies,https://easychair.org/cfp/ICRET2018,"Kuala Lumpur, Malaysia","Nov 15, 2017","Jan 16, 2018","['renewable energy', 'energy', 'automation', 'power and energy']",Energy
ICEES 2018,2018 2nd International Conference on Energy and Environmental Science,https://easychair.org/cfp/ICEES2018,"Kuala Lumpur, Malaysia","Nov 20, 2017","Jan 16, 2018","['environmental science', 'renewable energy', 'ecosystems', 'modelling']",Energy
ICPEE 2018,2018 International Conference on Power and Electrical Engineering,https://easychair.org/cfp/ICPEE2018,"Bangkok, Thailand","Jan 30, 2018","Apr 06, 2018","['power engineering', 'smart grids', 'environment', 'renewable energy']",Energy
IEEA 2018,"2018 The 7th International Conference on Informatics, Environment, Energy and Applications",https://easychair.org/cfp/IEEA2018,"Beijing, China","Jan 30, 2018","Mar 28, 2018","['informatics', 'environment', 'energy', 'computer']",Energy
ICERE 2018,2018 4th International Conference on Environment and Renewable Energy,https://easychair.org/cfp/ICERE2018,"Da Nang, Viet Nam","Dec 20, 2017","Feb 25, 2018","['sustainable development', 'energy science and technology', 'electrical engineering and automation', 'development and utilization of resources']",Energy
ICPEME 2018,"2018 International Conference on Power, Energy and Mechanical Engineering",https://easychair.org/cfp/ICPEME2018,"Barcelona, Spain","Dec 25, 2017","Feb 05, 2018","['power', 'manufacturing', 'aerospace engineering', 'environment engineering']",Energy
ICCGE 2018,2018 7th International Conference on Clean and Green Energy,https://easychair.org/cfp/ICCGE2018,"Paris, France","Dec 05, 2017","Feb 07, 2018","['electrical engineering', 'automation', 'environmental materials', 'utilization of resources']",Energy
ICAEM 2018,2018 International Conference on Advanced Energy Materials,https://easychair.org/cfp/ICAEM2018,"Fukuoka, Japan","Nov 13, 2017","Jan 20, 2018","['biomaterials', 'composites', 'metallurgical science', 'building materials']",Energy
ICPPE 2018,2018 5th International Conference on Petroleum and Petrochemical Engineering,https://easychair.org/cfp/ICPPE2018,"Bali, Indonesia","Nov 20, 2017","Jan 14, 2018","['petroleum and petrochemical engineering', 'environmental issues', 'petrochemicals', 'oil and gas diversification']",Energy
ICFEE 2018,2018 8th International Conference on Future Environment and Energy,https://easychair.org/cfp/ICFEE2018,"Phuket, Thailand","Nov 01, 2017","Jan 10, 2018","['management', 'renewable energy', 'advanced energy technologies', 'fuels and combustion']",Energy
