 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
SACLA 2018,47th Annual Conference of the Southern African Computing Lecturers' Association,https://easychair.org/cfp/sacla2018,"Western Cape, South Africa",28-Feb-18,18-Jun-18,"['computing education', 'educational technology', 'ict education']",Computing
CST'2018,Computer Science and Technology,https://easychair.org/cfp/CST2018,,31-Mar-18,,"['data mining', 'natural language processing', 'security and privacy', 'bio inspiration and metaheuristic methods']",Computing
SCRIT'2018,Studies on Computer Research and Information Technology,https://easychair.org/cfp/SCRIT2018,,31-Mar-18,,"['data mining', 'web services', 'optimization', 'signal or image processing']",Computing
ENCOM 2018,"VIII Conferência Nacional em Comunicações, Redes e Segurança da Informação",https://easychair.org/cfp/ENCOM_2018,"Salvador, Brazil",30-Jun-18,19-Oct-18,"['redes', u'comunica\xe7\xf5es', u'seguran\xe7a da informa\xe7\xe3o', u't\xf3picos em computa\xe7\xe3o']",Computing
CONSEG2018,International Conference on Software Engineering,https://easychair.org/cfp/CONSEG2018,"Bangalore, India",1-Apr-18,9-Aug-18,"['ai/iot/blockchain', '3d print/cloud/big data/5g networks', 'web 3.0/4.0/mobile n mobility/social(crowd)/autonomous cars', 'quantum computing/wireless power/nano tech']",Computing
ACM-W IPT 2018,ACM-W: Informática para tod@s 2018,https://easychair.org/cfp/ACMW-IPT2018,"Madrid, Spain",18-Feb-18,19-Apr-18,[],Computing
SIVE18,4th workshop on Sonic Interactions for Virtual Environments at IEEE VR,https://easychair.org/cfp/sive18,"Reutlingen, Germany",1-Feb-18,18-Mar-18,"['sound', 'virtual reality', 'augmented reality', 'audio']",Computing
CoT18,The 5th Cloud of Things Workshop,https://easychair.org/cfp/CoT18,"Rome, Italy",,25-Jun-18,"['sensing and networks', 'iot and big data analytic', 'iot and intelligent systems']",Computing
I4CS 2018,18th International Conference on Innovations for Community Services,https://easychair.org/cfp/I4CS2018,"Zilina, Belá, Slovakia",28-Feb-18,18-Jun-18,[],Computing
WISA2018,The 15th Web Information Systems and Applications Conference,https://easychair.org/cfp/wisa2018,"Taiyuan, China",10-Apr-18,14-Sep-18,"['knowledge graph', 'new intelligent', 'block chains', 'privacy and security']",Computing
IACAP 2018,The 2018 Meeting of the International Association for Computing and Philosophy,https://easychair.org/cfp/IACAP-2018,"Warsaw, Poland",15-Feb-18,21-Jun-18,[],Computing
WADT'18,24th International Workshop on Algebraic Development Techniques,https://easychair.org/cfp/WADT18,"Egham, UK",27-Apr-18,2-Jul-18,[],Computing
ISMIS 2018,24th International Symposium on Methodologies for Intelligent Systems,https://easychair.org/cfp/ISMIS2018,"Limassol, Cyprus",10-May-18,29-Oct-18,"['intelligent systems', 'digital libraries', 'web intelligence', 'knowledge integration and aggregation']",Computing
LILE2018,7th International Workshop on Learning & Education with Web Data,https://easychair.org/cfp/lile2018,"Amsterdam, Netherlands",20-Mar-18,27-May-18,"['learning analytics', 'web science', 'technology enhanced learning', 'web mining']",Computing
ParSocial 2018,The 3rd IEEE Workshop on  Parallel and Distributed Processing for Computational Social Systems,https://easychair.org/cfp/ParSocial2018,"Vancouver, Canada",15-Jan-18,25-May-18,[],Computing
2018AAAISpecialIssue,"Deep Models, Machine Learning and Artificial Intelligence Applications in National and International Security",https://easychair.org/cfp/2018AAAISpecialIssue,"MONTEREY, CA, United States",30-Apr-18,,"['artificial intelligence', 'deep learning', 'military applications', 'machine learning']",Computing
ES 2018,The 6th International Conference on Enterprise Systems,https://easychair.org/cfp/ES2018,"Limassol, Cyprus",14-May-18,8-Oct-18,"['enterprise systems for industry 4.0', 'iot enabled smart manufacturing', 'iot for industry 4.0', 'big data for industry 4.0']",Computing
Guide-VA-AI-18,Guide to Vulnerability Analysis for Computer Networks and Systems - An Artificial Intelligence Approach,https://easychair.org/cfp/Guide-VA-AI-18,"Huddersfield, UK",28-Feb-18,,"['security', 'artificial intelligence', 'vulnerability assessment']",Computing
SCI-2K18,International Conference on Social Networking and Computational Intelligence,https://easychair.org/cfp/SCI-2K18,"Bhopal, India",30-May-18,5-Oct-18,"['social networking', 'computation with modeling', 'nature inspired computation', 'computational intelligence in data analysis']",Computing
