 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
ICEMS 2018,International Conference on Emerging Trends in Mechanical Sciences,https://easychair.org/cfp/icems-2018,"Hyderabad, India","Feb 19, 2018","Apr 06, 2018","['materials', 'advanced proulsion sytems', 'computational fluid dynamics', 'cad/cam']",Space Science
DYCOSS2018,4rd IAA Conference on Dynamics and Control of Space Systems,https://easychair.org/cfp/dycoss_2018,"Changsha, China","May 07, 2018","May 21, 2018","['space system', 'spacecraft guidance navigation and control', 'attitude dynamics and control', 'orbital dynamics and determination']",Space Science
AEROTECH 7,AEROTECH VII,https://easychair.org/cfp/AEROTECH7,"Putrajaya, Malaysia","Feb 01, 2018","Aug 07, 2018","['aerospace', 'aviation', 'aeronautics', 'astronautics']",Space Science
SCTC2018,The 15th Spacecraft Charging Technology Conference,https://easychair.org/cfp/SCTC2018,"Kobe, Japan","Feb 15, 2018","Jun 25, 2018","['spacecraft charging', 'space plasma']",Space Science
ICES 2018,48th International Conference on Environmental Systems,https://easychair.org/cfp/ices2018,"Albuquerque, NM, United States","Mar 02, 2018","Jul 08, 2018","['thermal control', 'life science', 'environmental control', 'crew systems']",Space Science
DYCOSS2018,4rd IAA Conference on Dynamics and Control of Space Systems,https://easychair.org/cfp/DYCOSS2018,"Changsha City, Hunan Province, China","May 07, 2018","May 21, 2018","['space system', 'satellites', 'spacecraft guidance navigation and control', 'attitude dynamics and control']",Space Science
IRSE2018,5Tth International Reliability and Safety Engineering Conference,https://easychair.org/cfp/IRSE2018,"Shiraz, Iran","Dec 20, 2017","May 09, 2018","['risk assessment', 'system reliability', 'uncertainty analysis', 'safety and reliability simulation']",Space Science
