 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
ICCST 2018,IEEE International Carnahan Conference on Security Technology,https://easychair.org/cfp/ICCST2018,"Montreal, Canada",30-Mar-18,22-Oct-18,[],Engineering
ICBDCI2018,International Conference on Big Data and Computational Intelligence,https://easychair.org/cfp/icbdci2018,"Pithoragarh, India",,9-Feb-18,[],Engineering
ICEST 2018,"53rd International Scientific Conference on Information, Communication and Energy Systems and Technologies",https://easychair.org/cfp/ICEST2018,"Sozopol, Bulgaria",31-Mar-18,28-Jun-18,"['communication networks', 'radiocommunications', 'computer technologies and electronics', 'energy systems and technologies']",Engineering
PSE Asia 2019,"8th International Symposium on Design, Operation and Control of Chemical Processes",https://easychair.org/cfp/PSEAsia2019,"Bangkok, Thailand",31-Jul-18,13-Jan-19,[],Engineering
SMACD 2018,"15th International Conference on Synthesis, Modeling, Analysis and Simulation Methods and Applications to Circuit Design",https://easychair.org/cfp/SMACD2018,"Prague, Czech Republic",,2-Jul-18,['modeling and simulation'],Engineering
ICH2P-2018,The International Conference on Hydrogen Production (ICH2P) 2018,https://easychair.org/cfp/ICH2P-2018,"Zagreb, Croatia",1-Apr-18,16-Jul-18,"['fuel cells', 'global warming', 'sustainable development', 'hydrogen economy']",Engineering
NCPCRA2018,National conference on Performance Computing and Recent Applications,https://easychair.org/cfp/NCPCRA2018,"Pune, India",31-Jan-18,22-Feb-18,"['web informatics bigdata icn', 'ambient computing technology', 'energy and power distribution', 'dsp embedded system']",Engineering
SUMO2018,SUMO2018- Simulating Autonomous and Intermodal Transport Systems,https://easychair.org/cfp/SUMO2018,"Berlin, Germany",25-Feb-18,14-May-18,"['traffic simulation', 'autonomous driving', 'logistics']",Engineering
TES2018,The 7th International Conference  on Through-life Engineering Services,https://easychair.org/cfp/TES2018,"Cranfield, UK",1-May-18,6-Nov-18,[],Engineering
SSSCC 2018,"SSSCC 2018: Smart, Sustainable and Safe Cities Conference",https://easychair.org/cfp/SSSCC_2018,"Budapest, Hungary",20-Mar-18,25-May-18,"['technologies for smart cities', 'smart and emerging technologies', 'smart cities transport', 'smart systems for smart cities']",Engineering
RTDPCC-2018,4th International Symposium on Real-time Data Processing for Cloud Computing (RTDPCC 2018),https://easychair.org/cfp/RTDPCC-2018,"Exeter, UK",1-Mar-18,27-Jun-18,"['internet of things', 'cloud computing', 'cyber physical systems', 'real time data processing']",Engineering
