 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
ICCST 2018,IEEE International Carnahan Conference on Security Technology,https://easychair.org/cfp/ICCST2018,"Montreal, Canada",30-Mar-18,22-Oct-18,[],Technology
ICAT8,8th International Conference on Appropriate Technology,https://easychair.org/cfp/8thicat,"Porto-Novo, Benin",,22-Nov-18,[],Technology
MCPR2018,10th Mexican Conference on Pattern Recognition,https://easychair.org/cfp/MCPR2018,"Puebla, Mexico",22-Jan-18,27-Jun-18,"['pattern recognition', 'computer vision', 'image processing', 'applications']",Technology
PSE Asia 2019,"8th International Symposium on Design, Operation and Control of Chemical Processes",https://easychair.org/cfp/PSEAsia2019,"Bangkok, Thailand",31-Jul-18,13-Jan-19,[],Technology
ICT Innovations 2018,10th International Conference,https://easychair.org/cfp/ICT-Innovations-2018,"Ohrid, Macedonia",29-Apr-18,17-Sep-18,"['biomedical computing engineering and applications', 'bioinformatics and bioengineering', 'robotics technologies', 'intelligent systems']",Technology
RSP 2018,Repentina Sustentable Primavera 2018,https://easychair.org/cfp/repentina-primavera2018,"Puebla, Mexico",25-Apr-18,,"['desarrollo sustentable', u'educaci\xf3n superior', u'tecnolog\xeda e innovaci\xf3n', 'comunidad']",Technology
SMACD 2018,"15th International Conference on Synthesis, Modeling, Analysis and Simulation Methods and Applications to Circuit Design",https://easychair.org/cfp/SMACD2018,"Prague, Czech Republic",,2-Jul-18,['modeling and simulation'],Technology
IEEE ICIOT 2018,IEEE 2018 International Congress on Internet of Things,https://easychair.org/cfp/IEEE_ICIOT_2018,"San Francisco, CA, United States",7-Feb-18,2-Jul-18,"['iot', 'smart environment', 'architectures', 'application']",Technology
SNTA'18,Scalable Network Traffic Analytics,https://easychair.org/cfp/SNTA2018,"Vienna, Austria",28-Mar-18,2-Jul-18,[],Technology
SAD 2018,Seminário de Artes Digitais 2018,https://easychair.org/cfp/sad2018,"Belo Horizonte, Brazil",2-Apr-18,25-Apr-18,"[u'universo l\xfadico', 'design arte e interfaces', u'imagem e tecnopo\xe9ticas', u'mem\xf3ria e tecnologias digitais']",Technology
WebDB 2018,International Workshop on the Web and Databases 2018,https://easychair.org/cfp/webdb2018,"Houston, TX, United States",9-Feb-18,,"['web data', 'machine learning', 'systems', 'search']",Technology
CITI 2018,4th International Conference on Technologies and Innovation,https://easychair.org/cfp/CITI2018,"Guayaquil, Ecuador",15-May-18,6-Nov-18,[],Technology
ICFMCF-2018,3rd International Conference on Financial Markets and Corporate Finance 2018,https://easychair.org/cfp/ICFMCF-2018,"Kanpur, India",1-Mar-18,12-Jul-18,"['financial markets', 'corporate finance']",Technology
SSSCC 2018,"SSSCC 2018: Smart, Sustainable and Safe Cities Conference",https://easychair.org/cfp/SSSCC_2018,"Budapest, Hungary",20-Mar-18,25-May-18,"['technologies for smart cities', 'smart and emerging technologies', 'smart cities transport', 'smart systems for smart cities']",Technology
DSMP'2018,2018 IEEE Second International Conference on Data Stream Mining & Processing,https://easychair.org/cfp/DSMP2018,"Lviv, Ukraine",25-Mar-18,21-Aug-18,"['computational intelligence', 'machine vision', 'data stream mining', 'big data']",Technology
WPRT 2018,4ème Workshop Pédagogique Réseaux et Télécommunications 2018,https://easychair.org/cfp/WPRT2018,"Kourou, French Guiana",24-Sep-18,5-Nov-18,"['networks', 'telecommunications', 'computer science', 'electronic']",Technology
ICMRI 2018,The 2018 International Conference on Multidisciplinary Research and Innovation,https://easychair.org/cfp/ICMRI2018,"Kuala Lumpur, Malaysia",15-Mar-18,23-Jun-18,"['engineering', 'management', 'medical', 'applied sciences']",Technology
IEEE BigData Congress 2018,IEEE 2018 International Congress on Big Data,https://easychair.org/cfp/IEEEBigDataCongress2018,"San Francisco, CA, United States",,2-Jul-18,"['big data: algorithms architectures management', 'big data: security qos optimization', 'big data: mining applications resources', 'real time iot health']",Technology
SLATE 2018,"Symposium on Languages, Applications and Technologies",https://easychair.org/cfp/slate2018,"Guimarães, Portugal",18-Mar-18,21-Jun-18,"['code analysis', 'ontologies', 'service oriented architectures', 'natural language processing']",Technology
FNC-2018,13th International Conference on Future Networks and Communications,https://easychair.org/cfp/FNC2018,"Gran Canaria, Spain",22-Mar-18,13-Aug-18,"['networks', 'communication', 'intelligent', 'technology']",Technology
iSchool8thAnnualResearchDayUBC,iSchool’s 8th Annual Research Day,https://easychair.org/cfp/iSchool8thAnnualResearchDayUBC,"Vancouver, Canada",3-Feb-18,9-Mar-18,[],Technology
ICACC 2018,8th International Conference on Advances in Computing & Communications,https://easychair.org/cfp/ICACC-2018,"Kochi, India",15-Apr-18,13-Sep-18,"['smart communication', 'machine learning', 'intelligent electrical systems']",Technology
icrrme2018,International Conference on Recent Research in Materials and Engineering,https://easychair.org/cfp/icrrme2018,"Visakhapatnam, India",5-Feb-18,27-Mar-18,"['engineering', 'science', 'technology', 'material science']",Technology
MoreVMs'18,"Workshop on Modern Language Runtimes, Ecosystems, and VMs 2018",https://easychair.org/cfp/morevms18,"Nice, France",26-Jan-18,9-Apr-18,[],Technology
FAiSE'18,Workshop on Flexible Advanced Information Systems,https://easychair.org/cfp/FAiSE18,"Tallin, Estonia",4-Mar-18,11-Jun-18,"['flexible', 'information systems', 'internet of things', 'business process management']",Technology
NNC2018,NoNameCon 2018,https://easychair.org/cfp/NNC2018,"Kyiv, Ukraine",28-Feb-18,17-May-18,"['cyber security defense', 'cyber security assessment', 'cyber security of critical infrastructure', 'cyber security of ukraine']",Technology
