Conference Name,Conference Series,Link,Categories,When,Where,Submission Deadline,Notification Due,Final Version Due,Abstract Registration Due
 FQA  2013 : Financial and Quantitative Analysis,N/A,http://www.sciknow.org/journals/show/id/fqa,"['finance', 'economics', 'investments', 'quantitative']",N/A,N/A,TBD,,,
 NCAT  2013 : A National Conference on Advanced Technologies in Computer Science,N/A,http://www.mits.ac.in/NCAT2K13/ncat13.html,"['ad-hoc networks', 'artificial intelligence', 'computer networks', 'data mining']","May 30, 2013 - May 31, 2013","Madanapalle,AP,India","Apr 30, 2013","May 5, 2013","May 10, 2013",
 PTS  2013 :  Physics and Technical Sciences,N/A,http://www.sciknow.org/journals/show/id/pts,"['energy', 'power', 'physical sciences', 'applied physics']",N/A,N/A,TBD,,,
 EIDWT  2013 : The 4-th International Conference on Emerging Intelligent Data and Web Technologies,N/A,http://voyager.ce.fit.ac.jp/conf/eidwt/2013/cfp.html,[],"Sep 9, 2013 - Sep 11, 2013","Xi'an, China","Apr 15, 2013","May 30, 2013","Jun 30, 2013",
 WISDOM  2013 : Workshop on Issues of Sentiment Discovery and Opinion Mining ,N/A,http://sentic.net/wisdom,"['NLP', 'sentiment analysis', 'opinion mining', 'web mining']","Aug 11, 2013 - Aug 14, 2013",Chicago,"May 26, 2013","Jun 8, 2013","Jun 18, 2013",
 ICAMAR  2013 : 2013 International Conference on Applied Mechatronics and Android Robtics,N/A,http://www.icamar2013.org/,"['applied mechatronics', 'android robtics', 'EI', 'SCI']","Jul 13, 2013 - Jul 14, 2013",Taipei,"Jun 15, 2013","Jun 25, 2013",,
" SDCS  2013 : Semiconductor Devices, Circuits and Systems",N/A,http://conf-scoop.org/SDCS,"['circuits', 'semiconductor', 'electronics', 'electron devices']","Sep 12, 2013 - Sep 14, 2013",Barcelona / SPAIN,"Jul 5, 2013","Jul 15, 2013","Jul 25, 2013",
 BIOKDD  2013 : 12th International Workshop on Data Mining in Bioinformatics,Data Mining in Bioinformatics,http://home.biokdd.org/biokdd13/,"['bioinformatics', 'computational biology', 'data mining', 'genomics']","Aug 11, 2013 - Aug 11, 2013","Chicago, USA","May 22, 2013","Jun 14, 2013","Jun 24, 2013",
" WaConf  2013 : Waco | The Myths of Fear. Governments, Conspiracies Conference, 2013",N/A,http://www.nyf-tfi.hu/waconf/2013/03/31/waco-the-myths-of-fear-governments-conspiracies-conference-2013/,"['history', 'political science', 'religion', 'sociology']","Oct 25, 2013 - Oct 25, 2013","Nyíregyháza, Hungary","Jul 10, 2013","Jul 25, 2013","Oct 25, 2013",
 JHOA  2013 : Journal of Hypertension: Open Access,N/A,http://omicsgroup.org/journals/jhoahome.php,"['cardiovascular diseases', 'causes for hypertension', 'myocardial infarction', 'hypertension in pregnancy']","Apr 1, 2013 - Apr 25, 2013",USA,TBD,,,
 IJANS  2015 : International Journal on AdHoc Networking Systems,N/A,http://airccse.org/journal/ijans/ijans.html,"['networking', 'sensor networks', 'privacy', 'intelligent systems']",N/A,N/A,"Apr 10, 2015","May 10, 2015","May 17, 2015",
 CVO  2013 : AAAI Symposium on Opportunities and Perils for Computational Virtual Organizations,N/A,http://www2.cs.siu.edu/~mas/CVO/,"['artificial intelligence', 'multiagent system', 'social computing', 'machine learning']","Nov 15, 2013 - Nov 17, 2013","Virginia, USA","Jun 20, 2013","Jul 1, 2013","Sep 20, 2013",
 WOSP  2013 : JCDL 2013: 2nd International Workshop on Mining Scientific Publications,N/A,http://core-project.kmi.open.ac.uk/jcdl2013/,"['digital libraries', 'escience', 'natural language processing', 'data mining']","Jul 26, 2013 - Jul 26, 2013","Indianapolis, Indiana, USA","Jun 2, 2013","Jun 23, 2013","Jul 7, 2013",
 CISE  2013 :  3rd International Workshop on Computational Intelligence in Software Engineering,N/A,http://aiai2013.cut.ac.cy/cise-2013/,"['software engineering', 'artificial intelligence', 'machine learning', 'computational intelligence']","Sep 30, 2013 - Oct 2, 2013","Paphos, Cyprus","Apr 26, 2013","May 24, 2013",,
